user_id,project_id,skill_match_score,average_skill_level,role_match,time_match_score,domain_match,experience_gap,collaboration_style_match,team_atmosphere_match,target_score
1,1,0.6429,1.125,1,0.5263,0,0,0,0,56.29
1,2,0.6923,2.3333,1,0.5,0,-2,0,0,54.24
1,3,0.4583,1.2222,1,0.4762,0,1,0,0,41.13
1,4,0.625,1.5,1,1.0,0,2,0,0,55.19
1,5,0.375,1.4286,1,0.5882,0,2,0,0,46.53
1,6,0.4167,1.3333,1,0.4348,0,2,0,1,42.11
1,7,0.5625,1.5,1,0.5882,0,2,0,0,49.77
1,8,0.48,1.4,1,0.7692,1,-2,0,0,55.42
1,9,0.6316,1.8,1,1.0,1,-2,0,1,67.62
1,10,0.4667,1.2222,1,1.0,0,0,0,0,55.19
1,11,0.5714,2.0,1,0.9091,0,1,0,1,63.72
1,12,0.6923,1.5714,1,0.6667,0,2,0,0,48.17
1,13,0.4118,1.3,1,0.5263,1,1,0,0,55.12
1,14,0.3636,1.0,1,0.4545,0,-1,0,1,34.89
1,15,0.3462,1.1,1,0.5882,0,0,0,0,43.98
1,16,0.4706,1.2222,1,0.4348,0,2,0,0,49.24
1,17,0.4286,1.125,1,0.7692,0,1,0,0,44.72
1,18,0.5,1.4,1,1.0,0,-2,0,0,48.54
1,19,0.4706,1.2222,1,1.0,0,2,0,0,52.78
1,20,0.5833,1.7143,1,0.625,0,1,1,1,67.42
1,21,0.3182,1.1,1,0.4348,0,0,0,1,53.82
1,22,0.4444,1.125,1,1.0,0,-1,0,0,55.34
1,23,0.4286,1.1667,1,0.5556,0,2,0,0,40.89
1,24,0.4,0.7143,1,0.5882,0,2,0,0,48.71
1,25,0.8182,2.0,1,0.6667,0,-1,0,0,66.65
1,26,0.3913,1.3333,1,0.5556,0,0,0,0,50.07
1,27,0.6154,1.7143,1,0.7143,0,-2,0,0,54.84
1,28,0.25,0.5,1,0.6667,1,2,0,0,42.8
1,29,0.7692,2.0,1,1.0,0,0,0,0,61.32
1,30,0.6667,1.2857,1,0.5556,0,-1,0,0,55.05
1,31,0.4286,1.0,1,0.4,0,-2,1,0,43.64
1,32,0.5,1.375,1,0.7692,0,1,0,0,49.81
1,33,0.5625,1.375,1,0.5263,0,0,0,0,53.74
1,34,0.5455,1.2857,1,1.0,0,0,1,0,63.27
1,35,0.3333,1.3,1,0.8333,0,2,1,0,51.73
1,36,0.3846,1.0769,1,0.7143,0,-1,0,0,48.08
1,37,0.3333,0.7143,1,0.9091,0,-2,0,0,36.75
1,38,0.2,0.5,1,1.0,0,2,0,1,43.56
1,39,0.4375,1.4444,1,0.4167,1,0,0,0,52.86
1,40,0.5714,1.375,1,0.8333,0,-1,0,0,55.76
1,41,0.2941,0.625,1,0.4762,0,2,0,0,34.64
1,42,0.5714,1.3333,1,0.6667,1,0,0,1,60.93
1,43,0.3846,0.875,1,1.0,0,-1,0,0,58.13
1,44,0.3077,1.25,1,1.0,0,2,0,0,49.28
1,45,0.4737,1.125,1,0.5,0,1,0,0,48.05
1,46,0.6111,1.5556,1,0.7143,0,0,1,1,62.11
1,47,0.4706,1.125,1,0.5882,0,2,0,1,46.43
1,48,0.2632,0.7,1,0.5882,0,1,0,0,49.32
1,49,0.8182,1.8333,1,0.9091,0,0,0,0,60.67
1,50,0.3889,1.0,1,0.5,0,-2,0,1,49.32
1,51,0.5,1.3,1,0.7692,1,-1,0,0,61.57
1,52,0.5385,1.375,1,0.6667,0,2,1,1,59.22
1,53,0.5333,1.5,1,0.4,0,1,0,0,39.73
1,54,0.2857,0.8182,1,1.0,0,2,0,0,38.29
1,55,0.5385,1.375,1,0.6667,0,1,1,0,51.75
1,56,0.4615,1.0,1,0.6667,0,2,0,0,37.85
1,57,0.2308,0.8333,1,0.5882,0,1,0,0,36.96
1,58,0.55,1.75,1,0.4,0,2,0,0,43.25
1,59,0.6667,1.75,1,1.0,0,-1,1,0,75.67
1,60,0.6842,1.0833,1,1.0,1,0,0,0,77.58
1,61,0.2727,1.6,1,1.0,0,1,0,1,46.04
1,62,0.6154,1.5,1,0.5882,0,1,0,0,49.0
1,63,0.5,1.4286,1,0.5556,0,-1,0,0,42.32
1,64,0.3846,0.75,1,0.4167,0,-1,0,0,45.68
1,65,0.3333,0.7143,1,1.0,0,1,0,1,45.93
1,66,0.5789,1.2222,1,0.4167,0,1,0,0,41.21
1,67,0.5714,1.2857,1,0.5,0,-1,0,0,52.93
